timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776963430381,35,List Products,200,,Thread-Gruppe 1-4,text,true,,124172,730,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=5&page=1,35,0,0
1776963430436,10,Home,200,,Thread-Gruppe 1-6,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,10,0,0
1776963430539,25,Look at Product,200,,Thread-Gruppe 1-2,text,true,,91244,758,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=110,24,0,0
1776963431369,69,Add Product 2 to Cart,200,,Thread-Gruppe 1-10,text,true,,29538,1985,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,24,0,0
1776963431369,24,Add Product 2 to Cart-0,302,,Thread-Gruppe 1-10,,true,,1051,991,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,24,0,0
1776963431393,45,Add Product 2 to Cart-1,200,,Thread-Gruppe 1-10,text,true,,28487,994,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,45,0,0
1776963431523,15,List Products,200,,Thread-Gruppe 1-7,text,true,,113185,771,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=6&page=1,15,0,0
1776963431801,10,Home,200,,Thread-Gruppe 1-3,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,10,0,0
1776963431895,42,Add Product to Cart,200,,Thread-Gruppe 1-8,text,true,,30635,1740,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,8,0,0
1776963431895,8,Add Product to Cart-0,302,,Thread-Gruppe 1-8,,true,,932,865,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,8,0,0
1776963431904,33,Add Product to Cart-1,200,,Thread-Gruppe 1-8,text,true,,29703,875,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,33,0,0
1776963432177,19,Home,200,,Thread-Gruppe 1-1,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,19,0,0
1776963432277,19,Look at Product,200,,Thread-Gruppe 1-5,text,true,,119469,761,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=322,19,0,0
1776963432352,10,Logout,200,,Thread-Gruppe 1-9,text,true,,10823,1827,10,10,http://localhost:8080/tools.descartes.teastore.webui/,4,0,0
1776963432352,4,Logout-0,302,,Thread-Gruppe 1-9,,true,,1392,1091,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,4,0,0
1776963432357,5,Logout-1,200,,Thread-Gruppe 1-9,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,5,0,0
1776963432431,21,Login,200,,Thread-Gruppe 1-6,text,true,,10449,1023,10,10,http://localhost:8080/tools.descartes.teastore.webui/,14,0,0
1776963432431,14,Login-0,302,,Thread-Gruppe 1-6,,true,,804,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,14,0,0
1776963432445,7,Login-1,200,,Thread-Gruppe 1-6,text,true,,9645,747,10,10,http://localhost:8080/tools.descartes.teastore.webui/,7,0,0
1776963432684,57,Add Product to Cart,200,,Thread-Gruppe 1-2,text,true,,25627,1737,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,17,0,0
